电影代码: 00100072025, 电影名: 哪吒之魔童闹海, 上映天数: 34
[105.67, 0.58%, 1.43%, 6]
[126.24, 0.44%, 1.29%, 5]
[78.42, 0.61%, 1.71%, 4]
[77.88, 1.08%, 2.69%, 3]
[83.71, 1.10%, 2.69%, 2]
[91.76, 1.07%, 2.64%, 1]
[96.57, 0.99%, 2.54%, 0]
[224.30, 0.55%, 1.98%, 6]
[265.31, 0.44%, 1.72%, 5]
[200.95, 0.74%, 2.98%, 4]
[189.61, 1.19%, 4.22%, 3]
[213.23, 1.20%, 4.26%, 2]
[244.56, 1.22%, 4.24%, 1]
[295.27, 1.30%, 4.24%, 0]
电影代码: 00100022025, 电影名: 熊出没·重启未来, 上映天数: 34
[29.50, 0.66%, 2.85%, 0]
[575.90, 3.18%, 6.21%, 6]
[698.20, 2.42%, 5.97%, 5]
[124.39, 0.97%, 3.04%, 4]
[57.47, 0.80%, 2.86%, 3]
[61.21, 0.80%, 2.86%, 2]
[65.54, 0.76%, 2.93%, 1]
[72.66, 0.75%, 3.09%, 0]
[1019.72, 2.48%, 6.07%, 6]
[1139.63, 1.90%, 5.49%, 5]
[231.24, 0.85%, 3.40%, 4]
[143.95, 0.90%, 3.57%, 3]
[150.33, 0.84%, 3.63%, 2]
[161.20, 0.80%, 3.74%, 1]
[183.95, 0.81%, 4.16%, 0]
[1573.46, 2.22%, 6.27%, 6]
[1677.72, 1.83%, 5.48%, 5]
[696.03, 0.94%, 3.63%, 4]
[891.76, 2.10%, 7.28%, 3]
[1755.94, 2.80%, 7.97%, 2]
[1664.75, 2.90%, 7.99%, 1]
[1728.60, 2.98%, 8.01%, 0]
[2781.99, 3.00%, 8.08%, 6]
[2153.95, 2.81%, 8.22%, 5]
[2128.11, 3.12%, 8.23%, 4]
[2534.10, 3.34%, 8.11%, 3]
[2990.42, 3.44%, 7.97%, 2]
[4341.08, 3.55%, 7.89%, 1]
[4676.73, 3.79%, 8.04%, 0]
[5404.13, 4.23%, 8.37%, 6]
电影代码: 00100102025, 电影名: 灶王传, 上映天数: 38
[28.24, 0.64%, 0.03%, 0]
[31.65, 0.17%, 0.03%, 6]
[23.37, 0.08%, 0.02%, 5]
[13.54, 0.11%, 0.01%, 4]
[11.55, 0.16%, 0.01%, 3]
[11.56, 0.15%, 0.01%, 2]
[11.56, 0.13%, 0.01%, 1]
[7.28, 0.08%, 0.01%, 0]
[18.20, 0.04%, 0.01%, 6]
[18.22, 0.03%, 0.01%, 5]
[18.20, 0.07%, 0.01%, 4]
[18.20, 0.11%, 0.02%, 3]
[1.60, 0.01%, 0.00%, 2]
[1.39, 0.01%, 0.00%, 1]
[1.50, 0.01%, 0.00%, 0]
[1.51, 0.00%, 0.00%, 6]
[1.47, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[1.49, 0.00%, 0.01%, 3]
[1.52, 0.00%, 0.01%, 2]
[1.50, 0.00%, 0.01%, 1]
[1.52, 0.00%, 0.01%, 0]
[1.50, 0.00%, 0.01%, 6]
[1.83, 0.00%, 0.01%, 5]
[5.38, 0.01%, 0.01%, 4]
[72.14, 0.09%, 0.03%, 3]
[72.54, 0.08%, 0.03%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
电影代码: 05100122025, 电影名: 美国队长4, 上映天数: 18
[25.99, 0.59%, 2.22%, 0]
[71.52, 0.40%, 1.77%, 6]
[92.39, 0.32%, 1.67%, 5]
[47.97, 0.37%, 2.15%, 4]
[53.93, 0.75%, 3.49%, 3]
[59.84, 0.78%, 3.53%, 2]
[67.82, 0.79%, 3.55%, 1]
[75.97, 0.78%, 3.58%, 0]
[296.14, 0.72%, 2.98%, 6]
[413.14, 0.69%, 2.79%, 5]
[275.20, 1.01%, 4.81%, 4]
[225.81, 1.41%, 6.31%, 3]
[258.35, 1.45%, 6.57%, 2]
[291.57, 1.45%, 6.96%, 1]
[382.57, 1.69%, 7.94%, 0]
[1210.05, 1.71%, 7.60%, 6]
[2401.49, 2.62%, 11.55%, 5]
[3837.03, 5.20%, 11.78%, 4]
[217.73, 0.51%, 0.56%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[25.99, 0.59%, 2.22%, 0]
[71.52, 0.40%, 1.77%, 6]
[92.39, 0.32%, 1.67%, 5]
[47.97, 0.37%, 2.15%, 4]
[53.93, 0.75%, 3.49%, 3]
[59.84, 0.78%, 3.53%, 2]
[67.82, 0.79%, 3.55%, 1]
[75.97, 0.78%, 3.58%, 0]
[296.14, 0.72%, 2.98%, 6]
[413.14, 0.69%, 2.79%, 5]
[275.20, 1.01%, 4.81%, 4]
[225.81, 1.41%, 6.31%, 3]
[258.35, 1.45%, 6.57%, 2]
[291.57, 1.45%, 6.96%, 1]
[382.57, 1.69%, 7.94%, 0]
电影代码: 00103442021, 电影名: 异乡来客, 上映天数: 74
[12.95, 0.29%, 0.02%, 0]
[19.87, 0.11%, 0.01%, 6]
[25.52, 0.09%, 0.02%, 5]
[22.71, 0.18%, 0.02%, 4]
[16.51, 0.23%, 0.02%, 3]
[24.49, 0.32%, 0.02%, 2]
[20.04, 0.23%, 0.02%, 1]
[19.68, 0.20%, 0.02%, 0]
