电影代码: 00100072025, 电影名: 哪吒之魔童闹海, 上映天数: 34
[1.57, 0.00%, 0.01%, 6]
电影代码: 08100052025, 电影名: 狗的审判, 上映天数: 46
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[0.20, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[0.28, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[0.12, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[0.13, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
电影代码: 00106482024, 电影名: 幸运阁, 上映天数: 75
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 6]
[0.37, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 6]
电影代码: 00101562024, 电影名: 假爸爸, 上映天数: 53
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.01%, 4]
[<0.1, 0.00%, 0.01%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[0.60, 0.00%, 0.01%, 6]
[0.25, 0.00%, 0.01%, 5]
[0.14, 0.00%, 0.01%, 4]
[0.19, 0.00%, 0.01%, 3]
[0.36, 0.00%, 0.01%, 2]
[0.34, 0.00%, 0.01%, 1]
[0.33, 0.00%, 0.01%, 0]
[0.29, 0.00%, 0.01%, 6]
电影代码: 00104292023, 电影名: 吉庆街火, 上映天数: 34
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[0.12, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[0.14, 0.00%, 0.00%, 0]
[0.14, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[0.13, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[0.78, 0.00%, 0.00%, 6]
电影代码: 00101512023, 电影名: 小城季风, 上映天数: 60
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 3]
[0.30, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
电影代码: 00101862023, 电影名: 无玷之城, 上映天数: 17
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[0.13, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[0.19, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[0.16, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[0.13, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
电影代码: 07401812024, 电影名: 皇后乐队蒙特利尔现场演唱会, 上映天数: 88
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[0.15, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
电影代码: 00104902021, 电影名: 要牛, 上映天数: 53
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 0]
电影代码: 00107012024, 电影名: 蛟龙行动, 上映天数: 34
[<0.1, 0.00%, 0.00%, 0]
[1.16, 0.01%, 0.00%, 6]
[1.20, 0.00%, 0.00%, 5]
[1.76, 0.01%, 0.01%, 4]
[1.03, 0.01%, 0.00%, 3]
[1.62, 0.02%, 0.00%, 2]
[1.50, 0.02%, 0.00%, 1]
[3.34, 0.03%, 0.00%, 0]
[1.36, 0.00%, 0.00%, 6]
[3.68, 0.01%, 0.01%, 5]
[15.80, 0.06%, 0.02%, 4]
[8.94, 0.06%, 0.02%, 3]
[13.16, 0.07%, 0.03%, 2]
[11.81, 0.06%, 0.06%, 1]
[10.22, 0.05%, 0.12%, 0]
[392.88, 0.56%, 1.91%, 6]
[450.92, 0.49%, 1.70%, 5]
[474.70, 0.64%, 1.73%, 4]
[498.24, 1.17%, 4.60%, 3]
[670.39, 1.07%, 4.48%, 2]
[661.19, 1.15%, 4.64%, 1]
[694.02, 1.20%, 4.72%, 0]
[1184.43, 1.28%, 4.35%, 6]
[1082.48, 1.41%, 4.94%, 5]
[1003.86, 1.47%, 5.15%, 4]
[1212.50, 1.60%, 5.31%, 3]
[1501.78, 1.73%, 5.44%, 2]
[2420.56, 1.98%, 5.25%, 1]
[2638.91, 2.14%, 5.35%, 0]
[2993.30, 2.34%, 5.86%, 6]
电影代码: 00105562024, 电影名: 今年二十二, 上映天数: 88
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
电影代码: 00104452024, 电影名: 火锅艺术家, 上映天数: 60
[<0.1, 0.00%, 0.00%, 0]
[0.12, 0.00%, 0.01%, 6]
[<0.1, 0.00%, 0.01%, 5]
[0.22, 0.00%, 0.01%, 4]
[<0.1, 0.00%, 0.01%, 3]
[0.20, 0.00%, 0.01%, 2]
[<0.1, 0.00%, 0.01%, 1]
[0.13, 0.00%, 0.01%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.01%, 3]
[<0.1, 0.00%, 0.01%, 2]
[<0.1, 0.00%, 0.01%, 1]
[<0.1, 0.00%, 0.01%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[0.12, 0.00%, 0.00%, 4]
[0.23, 0.00%, 0.02%, 3]
[0.25, 0.00%, 0.02%, 2]
[0.34, 0.00%, 0.02%, 1]
[0.20, 0.00%, 0.01%, 0]
[0.27, 0.00%, 0.01%, 6]
[0.28, 0.00%, 0.01%, 5]
[0.32, 0.00%, 0.01%, 4]
[0.46, 0.00%, 0.01%, 3]
[0.40, 0.00%, 0.01%, 2]
[0.48, 0.00%, 0.01%, 1]
[0.45, 0.00%, 0.01%, 0]
[0.79, 0.00%, 0.02%, 6]
电影代码: 00103042024, 电影名: 极限守护, 上映天数: 68
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[0.13, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
电影代码: 00103672023, 电影名: 直播惊魂夜, 上映天数: 63
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[0.10, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[0.16, 0.00%, 0.00%, 5]
[0.11, 0.00%, 0.00%, 4]
[0.14, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[0.21, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[0.12, 0.00%, 0.00%, 5]
[0.28, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[0.14, 0.00%, 0.00%, 1]
[0.15, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[0.21, 0.00%, 0.00%, 5]
[0.10, 0.00%, 0.00%, 4]
[0.17, 0.00%, 0.00%, 3]
[0.24, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
电影代码: 00106002024, 电影名: “骗骗”喜欢你, 上映天数: 63
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.01%, 6]
[1.99, 0.01%, 0.04%, 5]
[8.53, 0.07%, 0.06%, 4]
[13.86, 0.19%, 0.09%, 3]
[17.17, 0.23%, 0.09%, 2]
[20.75, 0.24%, 0.08%, 1]
[21.91, 0.23%, 0.07%, 0]
[17.23, 0.04%, 0.06%, 6]
[14.20, 0.02%, 0.05%, 5]
[2.43, 0.01%, 0.06%, 4]
[2.80, 0.02%, 0.08%, 3]
[3.19, 0.02%, 0.07%, 2]
[2.83, 0.01%, 0.06%, 1]
[2.52, 0.01%, 0.06%, 0]
[2.69, 0.00%, 0.04%, 6]
[3.35, 0.00%, 0.03%, 5]
[17.02, 0.02%, 0.09%, 4]
[2.81, 0.01%, 0.07%, 3]
[3.01, 0.00%, 0.06%, 2]
[3.18, 0.01%, 0.06%, 1]
[3.27, 0.01%, 0.06%, 0]
[3.37, 0.00%, 0.04%, 6]
[3.22, 0.00%, 0.05%, 5]
[2.91, 0.00%, 0.05%, 4]
[3.24, 0.00%, 0.05%, 3]
[3.89, 0.00%, 0.05%, 2]
[3.39, 0.00%, 0.04%, 1]
[3.69, 0.00%, 0.03%, 0]
[3.85, 0.00%, 0.03%, 6]
电影代码: 00105092024, 电影名: 多想和你再见一面, 上映天数: 80
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 6]
电影代码: 00107752023, 电影名: 小英雄雨来, 上映天数: 53
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
电影代码: 00103232022, 电影名: 朝花夕拾, 上映天数: 52
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
电影代码: 00100542024, 电影名: 戏, 上映天数: 94
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
电影代码: 01202052024, 电影名: 名侦探柯南：迷宫的十字路口, 上映天数: 66
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[2.73, 0.00%, 0.02%, 6]
[2.53, 0.00%, 0.02%, 5]
[46.64, 0.06%, 0.11%, 4]
[2.03, 0.00%, 0.05%, 3]
[2.42, 0.00%, 0.05%, 2]
[2.57, 0.00%, 0.04%, 1]
[2.10, 0.00%, 0.04%, 0]
[3.77, 0.00%, 0.03%, 6]
[2.12, 0.00%, 0.03%, 5]
[2.23, 0.00%, 0.03%, 4]
[2.28, 0.00%, 0.03%, 3]
[2.44, 0.00%, 0.03%, 2]
[3.41, 0.00%, 0.02%, 1]
[3.96, 0.00%, 0.02%, 0]
[3.97, 0.00%, 0.02%, 6]
电影代码: 00103982024, 电影名: 阿爸的刀, 上映天数: 51
[0.87, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
电影代码: 00103442023, 电影名: 最后的告别, 上映天数: 71
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 6]
[0.24, 0.00%, 0.00%, 2]
电影代码: 00105582023, 电影名: 真爱找麻烦！, 上映天数: 43
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
电影代码: 00104442023, 电影名: 莫莉的冒险, 上映天数: 43
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 5]
[0.17, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
电影代码: 07402092024, 电影名: 帕丁顿熊3：秘鲁大冒险, 上映天数: 59
[0.11, 0.00%, 0.01%, 4]
[<0.1, 0.00%, 0.00%, 3]
[0.38, 0.01%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[0.43, 0.00%, 0.01%, 6]
[0.41, 0.00%, 0.01%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.01%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.01%, 1]
[<0.1, 0.00%, 0.00%, 0]
[0.26, 0.00%, 0.00%, 6]
[0.27, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[0.25, 0.00%, 0.01%, 3]
[0.33, 0.00%, 0.01%, 2]
[0.15, 0.00%, 0.01%, 1]
[0.24, 0.00%, 0.01%, 0]
[0.53, 0.00%, 0.01%, 6]
[0.21, 0.00%, 0.01%, 5]
[0.29, 0.00%, 0.01%, 4]
[0.51, 0.00%, 0.01%, 3]
[0.25, 0.00%, 0.01%, 2]
[0.51, 0.00%, 0.01%, 1]
[0.66, 0.00%, 0.01%, 0]
[0.85, 0.00%, 0.01%, 6]
电影代码: 00104082024, 电影名: 大红包2：龙凤呈祥, 上映天数: 50
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
电影代码: 00105702023, 电影名: 超级望望, 上映天数: 49
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.01%, 3]
[<0.1, 0.00%, 0.01%, 2]
[<0.1, 0.00%, 0.00%, 0]
电影代码: 00104962024, 电影名: 美人鱼的夏天, 上映天数: 99
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
电影代码: 00106442024, 电影名: 张杰曜北斗巡回演唱会（舞台纪录电影）, 上映天数: 71
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 6]
[7.91, 0.03%, 0.01%, 4]
[0.78, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[0.57, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 0]
[0.21, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
电影代码: 00106392024, 电影名: 窗前明月，咣！, 上映天数: 60
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[2.01, 0.03%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[0.75, 0.00%, 0.00%, 6]
[3.05, 0.00%, 0.00%, 5]
[1.50, 0.00%, 0.00%, 4]
[1.03, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[0.23, 0.00%, 0.00%, 0]
[0.16, 0.00%, 0.00%, 6]
电影代码: 00101712024, 电影名: 小倩, 上映天数: 85
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
电影代码: 01201272024, 电影名: 蜡笔小新：我们的恐龙日记, 上映天数: 98
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[0.10, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[0.10, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
电影代码: 00106512024, 电影名: 恶行之外, 上映天数: 49
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
